date,CAD_JPY,CNY_JPY,EUR_JPY,GBP_JPY,USD_JPY
2014-10-21,95.147,17.441,135.82,172.22,106.75
2014-10-22,95.694,17.55,135.89,172.51,107.36
2014-10-23,96.246,17.671,136.89,173.44,108.15
2014-10-24,96.339,17.659,136.92,173.89,108.03
2014-10-27,95.785,17.615,136.94,173.8,107.73
2014-10-28,96.618,17.662,137.67,174.49,108.0
2014-10-29,97.087,17.689,137.97,174.6,108.12
2014-10-30,97.371,17.829,137.56,174.63,108.99
2014-10-31,99.404,18.34,140.43,179.3,112.08
2014-11-03,100.644,18.619,142.26,182.12,113.93
2014-11-04,99.502,18.547,142.36,181.33,113.4
2014-11-05,100.756,18.751,143.15,183.21,114.63
2014-11-06,100.563,18.795,142.59,182.22,114.88
2014-11-07,101.0,18.735,142.52,181.78,114.74
2014-11-10,101.174,18.758,142.62,182.0,114.78
2014-11-12,102.291,18.842,143.77,182.55,115.43
2014-11-13,101.885,18.879,144.28,181.74,115.64
2014-11-14,103.178,19.016,145.58,182.43,116.53
2014-11-17,102.976,19.009,144.93,182.17,116.45
2014-11-18,103.284,19.077,146.34,182.7,116.76
2014-11-19,103.702,19.237,147.69,184.42,117.7
2014-11-20,104.439,19.29,147.97,185.26,118.14
2014-11-21,104.767,19.225,145.91,184.51,117.74
2014-11-24,104.943,19.278,147.13,185.88,118.4
2014-11-25,104.789,19.229,147.17,185.42,118.0
2014-11-26,104.668,19.154,147.04,185.65,117.61
2014-11-27,103.875,19.175,146.87,185.14,117.72
2014-11-28,103.885,19.323,147.65,185.64,118.71
2014-12-01,104.156,19.206,147.57,186.0,118.15
2014-12-02,104.482,19.371,147.58,186.42,119.11
2014-12-03,105.474,19.481,147.42,188.1,119.82
2014-12-04,105.219,19.444,148.76,187.94,119.67
2014-12-05,106.27,19.734,149.35,189.36,121.39
2014-12-08,105.385,19.581,148.59,188.89,120.9
2014-12-09,104.08,19.213,147.59,186.57,118.88
2014-12-10,103.21,19.187,147.24,185.92,118.51
2014-12-11,103.509,19.294,148.02,187.59,119.4
2014-12-12,102.449,19.107,147.58,185.93,118.23
2014-12-15,101.256,19.026,146.83,184.43,117.76
2014-12-16,100.908,18.951,146.66,184.56,117.31
2014-12-17,101.184,18.992,145.99,184.18,117.67
2014-12-18,102.501,19.127,146.07,186.11,118.84
2014-12-19,102.828,19.229,146.28,186.62,119.58
2014-12-22,102.934,19.259,146.82,187.16,119.85
2014-12-23,103.799,19.39,147.0,187.25,120.69
2014-12-24,103.638,19.349,146.81,187.28,120.46
2014-12-29,103.659,19.374,146.84,187.17,120.58
2014-12-30,102.902,19.181,145.3,185.85,119.36
2014-12-31,103.327,19.312,145.05,186.72,119.87
2015-01-02,102.501,19.373,144.41,184.66,120.21
2015-01-05,101.513,19.237,142.61,182.28,119.65
2015-01-06,100.15,19.028,141.1,179.4,118.22
2015-01-07,100.857,19.233,141.28,180.16,119.53
2015-01-08,101.184,19.235,141.15,180.67,119.52
2015-01-09,100.08,19.115,140.37,179.78,118.66
2015-01-12,99.206,19.077,140.03,179.5,118.35
2015-01-13,98.912,19.07,139.19,179.22,118.18
2015-01-14,97.656,18.848,137.87,177.88,116.78
2015-01-15,98.039,18.902,135.65,177.35,116.98
2015-01-16,98.039,18.931,135.33,177.8,117.51
2015-01-19,98.232,18.9,136.61,177.89,117.54
2015-01-20,98.039,19.069,136.94,179.62,118.48
2015-01-21,95.238,18.971,136.5,178.14,117.85
2015-01-22,95.329,18.999,134.59,177.5,117.93
2015-01-23,94.967,18.908,132.85,176.93,117.79
2015-01-26,95.42,18.931,133.69,178.68,118.43
2015-01-27,94.787,18.834,133.67,178.64,117.57
2015-01-28,94.607,18.855,133.6,178.63,117.8
2015-01-29,93.545,18.934,133.75,177.91,118.28
2015-01-30,92.336,18.79,132.57,176.44,117.42
2015-02-02,93.284,18.741,133.0,176.31,117.33
2015-02-03,94.34,18.774,134.68,177.77,117.51
2015-02-04,93.721,18.828,134.29,178.88,117.62
2015-02-05,94.518,18.781,134.22,179.55,117.41
2015-02-06,95.147,19.087,135.0,181.65,119.15
2015-02-09,95.329,18.999,134.28,180.56,118.67
2015-02-10,95.238,19.114,135.01,181.96,119.31
2015-02-11,95.238,19.276,135.91,183.27,120.33
2015-02-12,95.238,19.01,135.4,182.52,118.69
2015-02-13,95.329,19.018,135.38,182.68,118.68
2015-02-17,95.969,19.031,135.63,182.68,119.03
2015-02-18,95.694,19.053,135.17,183.89,119.19
2015-02-19,95.147,18.991,135.34,183.54,118.8
2015-02-20,94.877,18.966,134.91,182.53,118.65
2015-02-23,94.518,19.008,134.89,183.86,118.9
2015-02-24,94.518,19.045,134.67,183.84,119.12
2015-02-25,95.694,18.986,135.03,184.17,118.84
2015-02-26,95.602,19.082,133.87,184.18,119.41
2015-02-27,95.694,19.091,134.03,184.79,119.69
2015-03-02,95.785,19.138,134.34,184.55,120.07
2015-03-03,95.969,19.05,133.98,183.92,119.5
2015-03-04,96.246,19.095,132.53,182.77,119.73
2015-03-05,96.339,19.191,132.33,183.11,120.25
2015-03-06,95.877,19.319,131.28,182.2,120.96
2015-03-09,96.154,19.337,131.37,182.87,121.13
2015-03-10,95.969,19.357,129.81,182.89,121.24
2015-03-11,95.238,19.41,128.54,181.67,121.56
2015-03-12,95.602,19.379,128.79,180.85,121.33
2015-03-13,94.607,19.347,127.46,178.71,121.13
2015-03-16,95.057,19.373,128.31,179.58,121.34
2015-03-17,94.967,19.402,128.59,178.78,121.26
2015-03-18,94.697,19.413,128.7,177.59,120.94
2015-03-19,94.877,19.516,128.42,178.06,120.91
2015-03-20,95.511,19.389,129.81,179.5,120.3
2015-03-23,95.694,19.273,130.87,178.88,119.77
2015-03-24,95.877,19.329,130.81,178.34,119.95
2015-03-25,95.42,19.218,131.17,178.08,119.4
2015-03-26,95.42,19.16,129.92,176.61,119.0
2015-03-27,94.697,19.167,129.74,177.24,119.13
2015-03-30,94.697,19.356,129.98,177.7,120.16
2015-03-31,94.607,19.357,128.88,178.18,119.99
2015-04-01,94.877,19.307,128.83,177.36,119.66
2015-04-02,95.147,19.324,130.23,177.72,119.74
2015-04-06,95.602,19.216,131.02,178.07,119.04
2015-04-07,96.432,19.431,130.66,178.9,120.42
2015-04-08,95.877,19.338,129.73,178.95,119.92
2015-04-09,95.602,19.379,128.33,177.24,120.27
2015-04-10,95.511,19.379,127.48,176.19,120.3
2015-04-13,95.511,19.36,127.35,176.39,120.36
2015-04-14,95.602,19.207,127.32,176.41,119.29
2015-04-15,96.339,19.22,126.37,176.26,119.26
2015-04-16,97.656,19.238,128.04,177.87,119.2
2015-04-17,97.371,19.211,128.36,177.92,119.08
2015-04-20,97.752,19.238,128.4,177.91,119.3
2015-04-21,97.276,19.251,128.43,178.42,119.4
2015-04-22,97.847,19.354,128.58,180.08,119.86
2015-04-23,98.522,19.31,129.27,180.06,119.67
2015-04-24,97.752,19.198,129.34,180.47,118.92
2015-04-27,98.425,19.154,129.76,181.5,119.14
2015-04-28,98.814,19.15,130.41,182.05,118.78
2015-04-29,99.404,19.165,132.76,183.97,118.83
2015-04-30,98.912,19.327,133.8,183.72,119.87
2015-05-01,98.619,19.389,134.6,181.99,120.24
2015-05-04,99.305,19.374,134.04,181.79,120.27
2015-05-05,99.602,19.323,133.99,181.98,119.92
2015-05-06,99.404,19.254,135.44,181.98,119.37
2015-05-07,98.619,19.29,135.07,182.24,119.71
2015-05-08,99.108,19.296,134.65,185.12,119.8
2015-05-11,99.206,19.335,133.8,187.25,120.09
2015-05-12,99.9,19.291,134.58,187.8,119.75
2015-05-13,99.602,19.183,135.37,187.45,119.03
2015-05-14,99.404,19.225,135.51,187.94,119.2
2015-05-15,99.404,19.235,136.43,188.29,119.38
2015-05-19,98.717,19.418,134.4,187.1,120.54
2015-05-20,99.305,19.553,134.36,188.48,121.27
2015-05-21,99.206,19.534,134.67,189.68,121.04
2015-05-22,98.814,19.595,133.96,188.0,121.42
2015-05-25,98.717,19.585,133.26,187.83,121.46
2015-05-26,99.01,19.842,133.85,189.49,123.07
2015-05-27,99.108,19.95,134.7,189.58,123.74
2015-05-28,99.502,20.02,135.48,189.82,124.15
2015-05-29,99.502,20.01,136.37,189.55,124.03
