date,気象観測地ID,日照時間,日照時間（平年）,全天日射量,全天日射量（平年）,平均風速,最大風速,最大風速風向,最大瞬間風速,最大瞬間風速（風向）,最多風向,平均雲量,平均雲量（平年）,天気（日中）,天気（夜）,平均現地気圧,降雪量,降雪量（平年）,最深積雪,最深積雪（平年）
2014-07-09,w000001,2.7,4.1,10.58,15.0,1.9,5.3,東南東,7.5,東南東,西南西,9.8,8.4,曇一時雨,雨時々曇,1002.2,0.0,0.0,0.0,0.0
2014-07-10,w000001,0.0,4.0,3.64,14.8,2.4,9.7,北西,15.0,北西,東南東,10.0,8.4,雨,雨後曇,993.7,0.0,0.0,0.0,0.0
2014-07-11,w000001,7.7,4.0,20.41,14.7,2.0,5.5,南東,7.9,南,西,8.8,8.4,曇時々晴,晴,989.3,0.0,0.0,0.0,0.0
2014-07-12,w000001,5.8,4.0,17.13,14.7,2.8,5.8,南西,7.6,南西,西南西,6.8,8.5,曇一時雨,曇一時晴,996.1,0.0,0.0,0.0,0.0
2014-07-13,w000001,2.8,4.0,14.57,14.7,2.0,3.8,南南東,6.1,南東,南南東,10.0,8.5,曇後一時雨,雨後曇,998.7,0.0,0.0,0.0,0.0
2014-07-14,w000001,6.2,4.0,20.98,14.7,2.1,4.5,南西,6.9,南東,南南東,7.5,8.5,曇一時晴,曇一時晴,1001.2,0.0,0.0,0.0,0.0
2014-07-15,w000001,8.5,4.0,23.17,14.7,2.8,5.8,西南西,8.2,西北西,西南西,8.5,8.4,晴一時曇,薄曇,1005.6,0.0,0.0,0.0,0.0
2014-07-16,w000001,3.5,4.1,13.17,14.8,1.5,3.6,南南東,5.0,西南西,東,10.0,8.4,曇,曇後晴,1007.1,0.0,0.0,0.0,0.0
2014-07-17,w000001,13.4,4.1,26.82,14.9,1.9,4.7,南南東,6.4,南南東,南南東,0.3,8.4,快晴,晴後一時薄曇,1007.9,0.0,0.0,0.0,0.0
2014-07-18,w000001,12.2,4.2,27.04,15.0,5.1,9.7,東,13.5,東南東,東,5.0,8.3,晴時々曇,曇後一時雨,1009.3,0.0,0.0,0.0,0.0
2014-07-19,w000001,0.2,4.3,8.68,15.1,5.5,8.6,東南東,14.0,東南東,東南東,9.8,8.3,曇時々雨,曇時々雨,1011.1,0.0,0.0,0.0,0.0
2014-07-20,w000001,1.8,4.4,14.3,15.2,5.5,8.7,東,12.4,東,東南東,10.0,8.2,曇一時雨,曇後一時晴,1010.5,0.0,0.0,0.0,0.0
2014-07-21,w000001,10.6,4.5,26.31,15.3,5.0,7.1,東南東,11.4,南南東,東南東,7.5,8.2,晴,曇一時晴,1007.3,0.0,0.0,0.0,0.0
2014-07-22,w000001,4.5,4.6,18.34,15.4,3.3,6.6,南西,9.9,西南西,南西,10.0,8.1,曇,雨時々曇,1001.4,0.0,0.0,0.0,0.0
2014-07-23,w000001,0.0,4.6,5.2,15.5,1.7,6.4,南西,10.2,西南西,北東,10.0,8.1,雨,曇時々雨後一時晴,997.7,0.0,0.0,0.0,0.0
2014-07-24,w000001,9.6,4.7,22.12,15.5,3.4,7.4,西南西,11.6,西南西,南西,9.3,8.0,晴時々曇,晴一時曇,997.8,0.0,0.0,0.0,0.0
2014-07-25,w000001,10.9,4.7,21.61,15.6,3.1,8.6,西北西,12.3,西,北西,6.0,8.0,晴後曇,曇,1004.5,0.0,0.0,0.0,0.0
2014-07-26,w000001,0.1,4.8,7.54,15.6,2.6,5.3,東南東,8.8,南西,南西,10.0,7.9,曇時々雨,雨時々曇,1002.4,0.0,0.0,0.0,0.0
2014-07-27,w000001,1.5,4.8,10.55,15.5,6.2,10.9,北西,18.7,南西,南西,8.8,7.9,雨時々曇,曇時々雨一時晴,993.6,0.0,0.0,0.0,0.0
2014-07-28,w000001,10.6,4.8,22.98,15.5,4.4,8.3,北西,12.7,北西,北西,3.3,7.9,晴一時曇,快晴,1002.0,0.0,0.0,0.0,0.0
2014-07-29,w000001,12.3,4.9,24.86,15.5,2.2,5.2,北西,7.0,西南西,北西,4.8,7.8,晴後薄曇,薄曇一時晴,1008.1,0.0,0.0,0.0,0.0
2014-07-30,w000001,11.0,4.9,23.75,15.4,2.1,5.2,南西,8.1,南西,南南東,8.8,7.8,晴時々薄曇,曇一時晴,1008.5,0.0,0.0,0.0,0.0
2014-07-31,w000001,7.6,4.9,18.96,15.4,2.6,7.2,西南西,9.9,西南西,南西,8.3,7.7,曇一時晴,曇後一時雨,1005.4,0.0,0.0,0.0,0.0
2014-08-01,w000001,12.0,4.9,24.89,15.3,2.7,6.0,南南東,8.4,南南東,東,4.3,7.7,晴,快晴,1003.3,0.0,0.0,0.0,0.0
2014-08-02,w000001,12.3,5.0,25.38,15.3,2.3,5.0,南南東,6.8,南南東,北北東,1.8,7.7,晴,晴後時々曇,1004.1,0.0,0.0,0.0,0.0
2014-08-03,w000001,11.2,5.0,22.94,15.3,1.9,4.6,南南東,7.1,南南東,東北東,5.8,7.6,晴時々曇,晴後一時曇,1003.0,0.0,0.0,0.0,0.0
2014-08-04,w000001,2.1,5.0,13.2,15.2,2.4,6.4,南西,11.2,南西,南西,9.8,7.6,曇後時々雨,雨時々曇,1000.4,0.0,0.0,0.0,0.0
2014-08-05,w000001,0.0,5.0,3.82,15.1,3.9,8.3,南西,13.3,西南西,南西,9.8,7.6,雨後一時曇,曇一時雨,996.0,0.0,0.0,0.0,0.0
2014-08-06,w000001,1.4,5.0,12.83,15.1,2.0,4.9,南南東,7.8,南東,南南東,8.8,7.6,曇後一時雨,雨時々曇,998.4,0.0,0.0,0.0,0.0
2014-08-07,w000001,0.1,5.0,5.2,15.0,2.1,5.2,東,7.2,東南東,南南東,10.0,7.6,雨時々曇,雨一時曇,1001.3,0.0,0.0,0.0,0.0
2014-08-08,w000001,3.3,4.9,13.09,14.9,2.0,5.3,南南東,7.1,南南東,南南東,9.5,7.6,曇一時雨,薄曇一時晴,1006.4,0.0,0.0,0.0,0.0
2014-08-09,w000001,2.7,4.9,15.33,14.9,2.4,4.8,南南東,7.0,南東,東,9.8,7.6,薄曇,曇後一時雨,1009.3,0.0,0.0,0.0,0.0
2014-08-10,w000001,0.0,4.9,4.26,14.8,7.1,16.8,東,26.4,東,東,10.0,7.7,雨,暴風雨後一時曇,1003.0,0.0,0.0,0.0,0.0
2014-08-11,w000001,1.4,4.8,10.28,14.7,7.6,16.4,東南東,25.7,南東,南西,9.5,7.7,雨時々曇,曇一時雨,987.4,0.0,0.0,0.0,0.0
2014-08-12,w000001,7.2,4.8,20.75,14.6,4.7,9.1,南西,16.3,南南西,南西,8.3,7.7,曇,晴時々曇後一時雨,997.2,0.0,0.0,0.0,0.0
2014-08-13,w000001,11.4,4.7,24.7,14.5,4.9,8.5,西,13.3,西,西,5.5,7.7,晴一時曇,曇一時晴,1001.9,0.0,0.0,0.0,0.0
2014-08-14,w000001,5.0,4.7,16.33,14.4,3.2,7.0,西北西,9.8,北西,西北西,9.0,7.8,曇後一時晴,曇,1006.2,0.0,0.0,0.0,0.0
2014-08-15,w000001,0.0,4.7,5.98,14.4,2.0,4.6,東南東,6.9,東南東,東南東,9.8,7.8,雨後一時曇,曇後一時霧雨,1005.4,0.0,0.0,0.0,0.0
2014-08-16,w000001,0.0,4.7,9.49,14.3,2.9,6.1,東南東,8.3,南東,東,9.5,7.8,曇,曇,1007.1,0.0,0.0,0.0,0.0
2014-08-17,w000001,0.0,4.7,6.41,14.3,4.0,6.5,東,9.0,東南東,東,10.0,7.8,曇時々雨後一時霧雨,曇時々霧雨,1010.4,0.0,0.0,0.0,0.0
2014-08-18,w000001,0.0,4.7,8.06,14.2,3.3,5.2,東南東,7.2,東南東,東,10.0,7.7,曇時々霧雨一時雨,雨時々曇,1011.0,0.0,0.0,0.0,0.0
2014-08-19,w000001,0.0,4.7,2.65,14.2,3.4,7.6,南西,11.8,南西,東,10.0,7.7,大雨,曇時々雨,1006.1,0.0,0.0,0.0,0.0
2014-08-20,w000001,3.0,4.8,13.76,14.2,3.8,7.2,西南西,10.5,西南西,西北西,9.8,7.7,曇,薄曇,1005.0,0.0,0.0,0.0,0.0
2014-08-21,w000001,0.8,4.8,11.39,14.2,2.1,3.8,南南東,5.8,南南東,東,10.0,7.7,曇,大雨一時曇,1007.1,0.0,0.0,0.0,0.0
2014-08-22,w000001,0.1,4.8,2.11,14.1,2.6,5.3,東南東,8.3,東,東南東,10.0,7.7,大雨、雷を伴う,雨時々曇、雷を伴う,1006.5,0.0,0.0,0.0,0.0
2014-08-23,w000001,6.2,4.9,18.46,14.1,3.9,7.9,南西,15.4,西南西,南西,9.3,7.6,曇時々晴,曇,1003.6,0.0,0.0,0.0,0.0
2014-08-24,w000001,7.1,4.9,16.67,14.0,3.7,7.3,西北西,10.5,西北西,西,9.8,7.6,曇,曇後一時晴,1003.4,0.0,0.0,0.0,0.0
2014-08-25,w000001,1.4,4.9,7.57,14.0,2.8,6.5,西,9.5,西北西,東,9.5,7.6,雨時々曇,雨時々曇,1005.6,0.0,0.0,0.0,0.0
2014-08-26,w000001,3.5,4.9,16.34,13.9,3.9,6.0,東南東,9.0,東北東,東,9.5,7.6,曇,曇時々晴,1009.1,0.0,0.0,0.0,0.0
2014-08-27,w000001,8.6,4.9,20.69,13.8,4.1,8.3,東南東,12.7,南東,東南東,5.5,7.6,曇後晴,晴,1011.9,0.0,0.0,0.0,0.0
2014-08-28,w000001,12.1,4.9,24.58,13.7,3.8,6.5,南南東,10.0,南東,東,4.0,7.6,晴後一時薄曇,晴時々曇,1012.0,0.0,0.0,0.0,0.0
2014-08-29,w000001,3.8,4.9,12.04,13.6,3.6,6.6,東,10.1,東南東,東,7.8,7.6,曇時々雨一時晴,曇時々雨,1012.2,0.0,0.0,0.0,0.0
2014-08-30,w000001,1.8,4.9,11.73,13.5,4.3,6.9,東,10.2,東,東,9.3,7.6,曇一時雨,曇一時雨,1011.3,0.0,0.0,0.0,0.0
2014-08-31,w000001,7.3,4.9,15.41,13.4,3.8,5.9,南東,9.0,南東,東,8.5,7.6,曇,薄曇後晴,1010.7,0.0,0.0,0.0,0.0
2014-09-01,w000001,6.2,4.8,15.0,13.3,3.5,6.5,東,8.9,東,東,7.8,7.6,曇時々晴,曇一時晴,1011.5,0.0,0.0,0.0,0.0
2014-09-02,w000001,3.7,4.8,11.59,13.2,2.9,6.1,東南東,9.1,東南東,東南東,6.0,7.6,曇後晴,晴後時々曇,1011.5,0.0,0.0,0.0,0.0
2014-09-03,w000001,7.4,4.8,17.48,13.2,4.6,7.4,東南東,10.3,東,東南東,7.3,7.6,晴時々曇,曇後時々雨,1010.8,0.0,0.0,0.0,0.0
2014-09-04,w000001,0.0,4.8,2.32,13.1,6.8,9.9,東南東,16.4,東南東,東南東,10.0,7.5,雨,雨,1006.0,0.0,0.0,0.0,0.0
2014-09-05,w000001,4.3,4.8,13.17,13.0,3.0,6.4,南西,10.6,南西,南西,8.0,7.5,曇一時雨,晴,1004.2,0.0,0.0,0.0,0.0
2014-09-06,w000001,8.9,4.9,17.6,13.0,3.7,7.6,西南西,11.2,西,西,9.0,7.4,曇一時晴,薄曇後一時晴,1005.3,0.0,0.0,0.0,0.0
2014-09-07,w000001,9.4,4.9,19.65,13.0,2.2,4.7,北西,6.8,北北東,北北東,6.8,7.4,晴後一時曇,曇後晴,1003.6,0.0,0.0,0.0,0.0
2014-09-08,w000001,8.1,4.9,17.8,12.9,2.0,4.7,南南東,7.1,南南東,南南東,3.0,7.3,晴,晴後一時曇,1002.5,0.0,0.0,0.0,0.0
2014-09-09,w000001,3.2,5.0,12.13,12.9,4.0,6.5,東南東,9.7,東南東,東南東,9.5,7.3,曇後晴,曇時々晴,1002.6,0.0,0.0,0.0,0.0
2014-09-10,w000001,1.2,5.0,8.58,12.9,5.8,8.7,東南東,13.4,南東,東南東,8.8,7.2,曇時々雨、雷を伴う,曇一時雨、雷を伴う,1004.7,0.0,0.0,0.0,0.0
2014-09-11,w000001,8.6,5.1,19.48,12.9,3.5,7.5,南西,10.7,西南西,南西,7.5,7.1,晴一時曇,晴時々曇一時雨、雷を伴う,1005.0,0.0,0.0,0.0,0.0
2014-09-12,w000001,4.1,5.1,11.8,13.0,2.1,4.9,西南西,7.8,南西,北東,9.5,7.1,晴後曇一時雨、雷を伴う,雨後晴、雷を伴う,1005.2,0.0,0.0,0.0,0.0
2014-09-13,w000001,5.9,5.2,14.36,13.0,2.0,4.9,南南東,7.1,南東,北東,4.5,7.0,晴一時雨,晴時々曇,1006.3,0.0,0.0,0.0,0.0
2014-09-14,w000001,7.6,5.2,15.71,12.9,2.0,4.7,南南東,8.0,南南西,北東,4.3,6.9,晴一時曇,晴,1008.7,0.0,0.0,0.0,0.0
2014-09-15,w000001,7.9,5.3,17.3,12.9,2.1,4.2,南東,6.7,南南東,南南東,7.8,6.9,晴後曇,曇後一時雨,1008.1,0.0,0.0,0.0,0.0
2014-09-16,w000001,7.1,5.3,16.54,12.9,3.3,9.0,西,14.1,西北西,西北西,6.8,6.8,晴,雨時々曇,1005.0,0.0,0.0,0.0,0.0
2014-09-17,w000001,4.8,5.4,10.5,12.9,3.0,8.2,西北西,13.4,西北西,西北西,5.5,6.8,晴時々雨,晴後一時雨,1006.9,0.0,0.0,0.0,0.0
2014-09-18,w000001,5.7,5.4,13.27,12.8,3.0,9.4,西,13.2,北西,西北西,5.0,6.7,晴一時雨,晴,1003.8,0.0,0.0,0.0,0.0
2014-09-19,w000001,8.4,5.5,16.62,12.8,3.6,10.3,西,15.2,西南西,西北西,4.5,6.7,晴一時曇,快晴,1003.8,0.0,0.0,0.0,0.0
2014-09-20,w000001,8.7,5.5,15.52,12.7,2.1,5.6,南西,8.2,西南西,北北東,2.8,6.7,晴一時雨,快晴,1008.3,0.0,0.0,0.0,0.0
2014-09-21,w000001,11.9,5.5,20.16,12.6,2.8,6.7,西北西,9.1,西,北北東,1.8,6.6,晴,晴,1011.6,0.0,0.0,0.0,0.0
2014-09-22,w000001,8.0,5.5,14.07,12.5,2.3,8.1,西,16.4,西北西,北,3.0,6.6,晴一時雨,晴,1011.0,0.0,0.0,0.0,0.0
2014-09-23,w000001,7.8,5.5,14.37,12.4,2.4,6.4,西,9.0,西,北北東,7.0,6.6,薄曇,薄曇後一時晴,1013.7,0.0,0.0,0.0,0.0
2014-09-24,w000001,4.0,5.5,9.19,12.3,2.1,3.6,東南東,5.4,南南東,北北東,9.0,6.6,曇,雨時々曇,1010.5,0.0,0.0,0.0,0.0
2014-09-25,w000001,6.4,5.5,14.36,12.3,4.1,8.4,北西,12.5,北北西,北西,8.5,6.6,曇後一時晴,晴一時曇,1002.1,0.0,0.0,0.0,0.0
2014-09-26,w000001,11.5,5.5,19.14,12.2,3.5,6.9,北西,10.2,西北西,北西,0.5,6.5,快晴,晴後曇,1012.1,0.0,0.0,0.0,0.0
2014-09-27,w000001,8.5,5.5,16.82,12.1,5.2,10.4,南東,15.0,東南東,東,8.0,6.5,晴一時曇,曇後一時晴,1014.7,0.0,0.0,0.0,0.0
2014-09-28,w000001,7.6,5.5,14.42,12.0,2.4,6.9,西北西,9.4,西北西,北東,7.3,6.5,晴後一時曇,晴,1008.9,0.0,0.0,0.0,0.0
2014-09-29,w000001,4.7,5.5,13.25,11.9,1.6,4.1,南南東,6.3,南南東,北東,8.3,6.5,曇一時晴,曇後晴,1006.1,0.0,0.0,0.0,0.0
2014-09-30,w000001,5.3,5.5,9.9,11.8,3.0,8.6,北西,12.7,北北西,北北西,5.0,6.4,晴時々曇後一時雨,晴後一時曇,1006.5,0.0,0.0,0.0,0.0
2014-10-01,w000001,10.5,5.5,18.38,11.7,2.8,7.3,西北西,11.6,西北西,西北西,8.0,6.4,晴一時曇,薄曇一時晴,1013.0,0.0,0.0,0.0,0.0
2014-10-02,w000001,4.0,5.5,10.96,11.7,3.2,7.1,東,11.5,東,東,9.8,6.4,曇,曇時々雨,1009.6,0.0,0.0,0.0,0.0
2014-10-03,w000001,1.3,5.5,5.1,11.6,2.0,6.9,西,9.7,西,北北西,8.0,6.3,曇時々雨一時晴,晴後一時曇,999.8,0.0,0.0,0.0,0.0
2014-10-04,w000001,8.1,5.5,15.72,11.5,4.7,10.9,西,16.1,西,北西,4.5,6.3,晴一時曇,快晴,1008.5,0.0,0.0,0.0,0.0
2014-10-05,w000001,9.6,5.6,16.74,11.4,1.9,4.7,西南西,7.6,南西,北北東,7.0,6.3,晴後薄曇,曇,1016.1,0.0,0.0,0.0,0.0
2014-10-06,w000001,0.0,5.6,1.78,11.3,2.6,5.2,北東,11.6,北東,東北東,9.0,6.2,雨一時曇,晴一時曇,1006.4,0.0,0.0,0.0,0.0
2014-10-07,w000001,10.4,5.6,17.11,11.2,2.6,6.5,西,9.2,西,北北東,2.8,6.2,晴,晴一時曇,1012.6,0.0,0.0,0.0,0.0
2014-10-08,w000001,1.5,5.6,5.73,11.2,2.1,5.9,北北西,8.6,北西,北北東,7.5,6.2,曇時々雨一時晴、雷を伴う,晴時々雨一時曇,1015.5,0.0,0.0,0.0,0.0
2014-10-09,w000001,10.5,5.6,15.96,11.1,2.2,4.8,南南東,7.3,南南東,北北東,0.5,6.1,晴,晴後時々雨、雷を伴う,1015.5,0.0,0.0,0.0,0.0
2014-10-10,w000001,5.6,5.6,11.06,11.0,4.5,11.3,西,18.5,西,北西,6.5,6.1,曇後晴,晴,1012.7,0.0,0.0,0.0,0.0
2014-10-11,w000001,9.1,5.6,14.94,10.9,3.7,9.9,北西,15.5,北西,北西,3.3,6.1,晴,晴,1020.1,0.0,0.0,0.0,0.0
2014-10-12,w000001,10.6,5.7,15.73,10.8,2.0,3.9,南南東,6.0,南南西,北東,0.0,6.0,晴,晴後薄曇,1018.5,0.0,0.0,0.0,0.0
2014-10-13,w000001,0.3,5.7,6.15,10.7,2.1,7.2,北西,10.5,北西,北西,10.0,6.0,曇後時々雨,雨,1009.3,0.0,0.0,0.0,0.0
2014-10-14,w000001,0.5,5.6,3.24,10.6,4.0,8.6,北西,12.6,北西,北西,7.5,6.0,雨後一時晴,晴,1000.2,0.0,0.0,0.0,0.0
2014-10-15,w000001,10.6,5.6,15.74,10.5,2.6,6.2,西,9.1,西南西,西,0.8,6.0,快晴,晴,1013.0,0.0,0.0,0.0,0.0
2014-10-16,w000001,2.8,5.6,9.15,10.4,4.0,8.9,東南東,12.8,南東,東南東,8.3,6.0,曇後雨,曇後雨、雷を伴う,1011.5,0.0,0.0,0.0,0.0
2014-10-17,w000001,1.1,5.5,5.31,10.2,4.2,10.8,西,14.9,西,西北西,9.5,6.0,雨時々曇,曇後晴,1005.7,0.0,0.0,0.0,0.0
2014-10-18,w000001,10.6,5.5,15.16,10.1,3.8,9.4,西,14.1,西,西北西,0.0,6.0,晴,快晴,1015.1,0.0,0.0,0.0,0.0
2014-10-19,w000001,8.2,5.4,11.98,9.9,2.0,4.0,北北東,5.0,北北東,北北東,4.0,6.0,晴一時曇,薄曇一時晴,1020.0,0.0,0.0,0.0,0.0
2014-10-20,w000001,0.0,5.3,3.52,9.7,2.2,7.0,南南西,13.3,南南西,東北東,10.0,6.0,曇後時々雨、雷を伴う,雨後曇,1014.1,0.0,0.0,0.0,0.0
2014-10-21,w000001,1.5,5.3,5.59,9.6,3.4,7.7,北西,10.9,北西,北西,10.0,6.1,曇,曇,1010.2,0.0,0.0,0.0,0.0
2014-10-22,w000001,7.8,5.2,11.45,9.4,3.1,7.3,北西,10.9,北西,北,8.8,6.1,薄曇一時晴,晴,1013.0,0.0,0.0,0.0,0.0
2014-10-23,w000001,10.1,5.1,14.28,9.3,1.6,3.3,南南西,5.3,南西,北東,0.8,6.1,快晴,晴,1015.9,0.0,0.0,0.0,0.0
2014-10-24,w000001,10.0,5.1,13.63,9.1,2.3,5.8,北西,8.6,西北西,北,2.0,6.1,晴,晴,1015.6,0.0,0.0,0.0,0.0
2014-10-25,w000001,3.5,5.0,8.35,8.9,3.2,7.1,南西,10.6,南南西,南西,6.5,6.1,晴一時曇,晴,1014.9,0.0,0.0,0.0,0.0
2014-10-26,w000001,9.0,5.0,12.44,8.8,3.3,6.7,南南西,12.4,南,南南西,3.5,6.1,晴一時曇,晴後一時曇,1010.8,0.0,0.0,0.0,0.0
2014-10-27,w000001,1.3,4.9,4.72,8.7,5.0,10.1,西北西,14.8,西北西,西北西,8.8,6.2,曇時々雨,雨時々曇,1004.0,0.0,0.0,0.0,0.0
2014-10-28,w000001,3.1,4.8,7.78,8.5,5.4,11.1,西,18.2,西北西,西北西,9.3,6.2,雨一時曇、みぞれを伴う,曇時々雨,1007.5,0.0,0.0,0.0,0.0
