date,局ID,日平均気温(毎正時の平均値),日最高気温(毎正時の最大値),日最低気温(毎正時の最小値),相対湿度(0時時点),相対湿度(6時時点),相対湿度(12時時点),相対湿度(18時時点),1時間降水量の日最大,降水量の積算値(0時-6時),降水量の積算値(6時-12時),降水量の積算値(12時-18時),降水量の積算値(18時-24時)
2014-07-11,00013490096,18.4,22.2,15.8,99.1,99.1,98.8,93.6,0.0,0.0,0.0,0.0,0.0
2014-07-12,00013490096,18.5,21.6,15.2,99.0,98.7,91.5,93.3,0.0,0.0,0.0,0.0,0.0
2014-07-13,00013490096,18.7,23.1,17.0,98.3,98.8,98.2,97.1,0.5,0.0,0.0,0.0,0.5
2014-07-14,00013490096,19.8,24.2,17.2,97.8,98.1,96.8,97.6,0.0,0.0,0.0,0.0,0.0
2014-07-15,00013490096,23.7,28.6,18.8,96.8,91.3,67.9,71.4,0.0,0.0,0.0,0.0,0.0
2014-07-16,00013490096,21.4,23.2,19.6,85.6,83.6,91.4,93.1,0.0,0.0,0.0,0.0,0.0
2014-07-17,00013490096,20.4,22.7,17.9,98.2,98.2,92.7,96.1,0.0,0.0,0.0,0.0,0.0
2014-07-18,00013490096,19.2,20.7,16.4,98.4,98.5,97.6,97.8,0.0,0.0,0.0,0.0,0.0
2014-07-19,00013490096,18.4,20.0,17.2,97.7,98.4,98.8,97.8,1.5,0.0,2.5,0.5,0.0
2014-07-20,00013490096,18.1,20.0,16.9,98.5,98.9,98.0,99.0,0.5,1.0,0.0,0.0,0.5
2014-07-21,00013490096,18.7,20.7,15.8,97.6,89.4,94.0,97.0,0.0,0.0,0.0,0.0,0.0
2014-07-22,00013490096,20.8,24.7,17.0,98.6,98.1,80.9,97.9,0.0,0.0,0.0,0.0,0.0
2014-07-23,00013490096,20.9,24.3,18.4,96.9,97.8,98.6,99.0,3.0,1.0,6.0,0.5,0.5
2014-07-24,00013490096,22.5,27.2,17.3,99.0,98.7,76.9,92.5,0.0,0.0,0.0,0.0,0.0
2014-07-25,00013490096,22.8,26.8,18.9,95.7,76.7,82.2,81.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,00013490096,23.7,27.2,20.3,57.1,84.8,66.3,87.1,0.0,0.0,0.0,0.0,0.0
2014-07-27,00013490096,22.4,25.5,19.2,94.3,97.6,87.8,88.7,1.5,1.5,3.0,0.0,0.0
2014-07-28,00013490096,20.6,25.2,17.0,88.2,94.5,79.8,89.1,0.0,0.0,0.0,0.0,0.0
2014-07-29,00013490096,19.2,23.1,15.8,98.3,98.2,96.9,95.7,0.0,0.0,0.0,0.0,0.0
2014-07-30,00013490096,19.4,24.9,16.6,97.9,99.0,98.6,93.9,0.0,0.0,0.0,0.0,0.0
2014-07-31,00013490096,23.6,26.8,19.3,98.8,90.6,86.4,89.8,0.0,0.0,0.0,0.0,0.0
2014-08-01,00013490096,24.5,29.5,21.0,97.6,97.7,93.3,90.0,0.0,0.0,0.0,0.0,0.0
2014-08-02,00013490096,22.4,26.6,17.9,98.6,98.1,85.6,87.4,0.0,0.0,0.0,0.0,0.0
2014-08-03,00013490096,21.1,23.0,19.5,98.4,99.1,99.3,98.9,0.0,0.0,0.0,0.0,0.0
2014-08-04,00013490096,24.6,28.4,20.7,99.1,99.2,83.8,98.3,2.0,0.0,0.0,0.0,2.0
2014-08-05,00013490096,25.3,26.5,23.2,95.4,97.8,97.1,98.2,7.5,0.5,14.0,0.5,0.5
2014-08-06,00013490096,22.4,24.4,21.0,99.1,99.0,99.2,97.7,0.0,0.0,0.0,0.0,0.0
2014-08-07,00013490096,21.3,23.8,19.7,99.0,99.2,99.3,95.4,1.0,0.0,2.5,0.0,1.0
2014-08-08,00013490096,20.1,24.7,17.7,99.2,99.3,97.6,97.7,4.5,9.5,1.5,0.5,0.0
2014-08-09,00013490096,20.0,22.9,17.3,98.6,99.2,97.7,92.3,0.0,0.0,0.0,0.0,0.0
2014-08-10,00013490096,18.5,19.9,17.1,99.0,98.3,98.8,99.1,14.0,0.0,0.0,13.5,39.0
2014-08-11,00013490096,22.4,26.4,18.3,99.2,98.7,98.1,97.7,20.0,65.5,0.0,1.0,5.5
2014-08-12,00013490096,22.6,25.4,19.8,98.9,89.2,66.2,83.4,0.5,1.0,0.0,0.0,0.0
2014-08-13,00013490096,22.4,25.9,18.3,91.5,99.0,55.9,73.3,7.5,0.0,8.0,0.0,0.0
2014-08-14,00013490096,19.8,23.3,17.2,89.1,82.8,87.6,94.8,0.0,0.0,0.0,0.0,0.0
2014-08-15,00013490096,17.8,19.3,15.6,98.2,98.8,98.3,97.9,0.5,0.0,0.0,0.5,0.0
2014-08-16,00013490096,18.4,21.0,15.0,99.0,99.2,96.4,94.5,0.5,0.5,0.0,0.0,0.0
2014-08-17,00013490096,18.6,19.8,17.5,99.0,99.1,99.0,98.8,1.0,0.0,1.5,2.0,0.5
2014-08-18,00013490096,18.7,19.8,17.8,99.0,99.3,99.3,99.1,0.0,0.0,0.0,0.0,0.0
2014-08-19,00013490096,20.8,24.5,18.1,99.3,99.3,99.3,98.2,10.0,0.0,20.5,15.5,4.5
2014-08-20,00013490096,21.7,24.2,19.2,98.2,99.2,97.4,98.6,0.0,0.0,0.0,0.0,0.0
2014-08-21,00013490096,20.1,22.2,18.3,99.1,99.1,92.8,90.7,0.0,0.0,0.0,0.0,0.0
2014-08-22,00013490096,19.4,21.1,18.1,99.1,99.3,99.3,99.3,6.5,16.5,18.5,10.5,2.5
2014-08-23,00013490096,23.1,25.9,19.4,98.8,99.3,83.6,91.6,6.5,7.5,2.5,0.0,0.0
2014-08-24,00013490096,23.5,27.1,19.9,95.3,98.2,70.4,83.1,0.0,0.0,0.0,0.0,0.0
2014-08-25,00013490096,18.1,20.6,16.5,92.2,96.5,99.1,99.2,1.5,0.0,0.5,3.0,3.5
2014-08-26,00013490096,16.5,18.9,14.6,99.2,99.1,86.6,96.9,1.0,0.5,1.5,0.0,0.0
2014-08-27,00013490096,16.7,20.5,12.9,98.3,99.0,73.6,86.8,0.0,0.0,0.0,0.0,0.0
2014-08-28,00013490096,16.5,20.6,12.5,98.8,98.8,70.8,90.0,0.0,0.0,0.0,0.0,0.0
2014-08-29,00013490096,17.6,19.7,14.0,98.8,98.7,97.9,98.8,3.0,0.0,0.0,3.5,0.0
2014-08-30,00013490096,18.3,20.2,16.9,99.0,99.0,98.0,97.8,1.0,0.0,1.0,0.0,0.0
2014-08-31,00013490096,18.1,20.9,15.3,99.0,99.0,85.4,97.8,0.0,0.0,0.0,0.0,0.0
2014-09-01,00013490096,17.9,21.2,14.9,98.9,99.0,88.2,97.6,0.0,0.0,0.0,0.0,0.0
2014-09-02,00013490096,19.4,21.4,17.3,98.8,98.8,95.9,97.7,0.0,0.0,0.0,0.0,0.0
2014-09-03,00013490096,19.4,22.2,16.1,98.9,99.0,84.2,95.4,0.0,0.0,0.0,0.0,0.0
2014-09-04,00013490096,19.5,19.9,18.3,97.7,91.8,97.9,98.2,5.0,0.0,0.0,9.5,3.0
2014-09-05,00013490096,21.7,25.7,19.3,98.6,99.0,84.0,98.2,1.5,2.5,0.0,0.0,0.0
2014-09-06,00013490096,20.0,24.4,16.3,93.4,93.0,68.5,87.3,0.0,0.0,0.0,0.0,0.0
2014-09-07,00013490096,18.1,21.4,15.7,90.6,98.6,86.4,98.8,1.5,0.0,0.0,2.0,0.0
2014-09-08,00013490096,17.7,22.1,15.1,98.7,98.9,86.0,95.9,0.0,0.0,0.0,0.0,0.0
2014-09-09,00013490096,18.4,21.9,15.3,98.8,98.8,89.9,97.7,0.0,0.0,0.0,0.0,0.0
2014-09-10,00013490096,19.0,20.4,18.0,96.1,95.3,89.7,95.0,0.5,0.0,0.0,0.0,0.5
2014-09-11,00013490096,19.4,24.0,15.4,98.4,98.0,54.4,96.8,9.5,16.0,0.0,0.0,0.0
2014-09-12,00013490096,16.3,18.4,14.5,98.3,98.6,93.0,98.2,1.0,0.0,0.0,0.5,1.5
2014-09-13,00013490096,16.1,19.7,13.3,98.9,99.1,92.4,97.8,2.0,0.5,3.5,0.0,0.0
2014-09-14,00013490096,15.1,17.8,12.0,98.1,98.5,77.9,97.6,0.0,0.0,0.0,0.0,0.0
2014-09-15,00013490096,15.5,19.4,11.3,98.4,98.7,86.7,98.1,0.0,0.0,0.0,0.0,0.0
2014-09-16,00013490096,16.3,20.9,12.1,98.6,98.8,82.9,94.6,5.5,0.0,5.5,0.0,0.0
2014-09-17,00013490096,13.2,19.0,9.1,96.9,96.8,59.9,97.3,0.0,0.0,0.0,0.0,0.0
2014-09-18,00013490096,13.5,18.8,9.1,93.9,81.4,80.5,98.1,0.0,0.0,0.0,0.0,0.0
2014-09-19,00013490096,14.7,18.4,11.2,86.5,98.4,75.9,97.9,0.5,0.5,0.0,0.0,0.0
2014-09-20,00013490096,13.4,17.8,10.3,98.0,98.2,95.1,98.0,1.0,0.0,0.0,1.5,0.0
2014-09-21,00013490096,13.7,18.8,9.7,98.4,98.3,60.6,94.9,0.0,0.0,0.0,0.0,0.0
2014-09-22,00013490096,15.1,22.0,11.6,95.7,95.6,66.7,98.4,0.5,0.0,0.0,0.5,0.0
2014-09-23,00013490096,16.1,22.2,11.2,97.9,96.8,69.4,95.0,0.0,0.0,0.0,0.0,0.0
2014-09-24,00013490096,16.9,20.8,13.3,98.4,98.6,70.2,97.1,0.0,0.0,0.0,0.0,0.0
2014-09-25,00013490096,16.9,19.5,14.4,98.6,98.4,95.1,89.5,0.0,0.0,0.0,0.0,0.0
2014-09-26,00013490096,15.7,19.1,11.2,88.8,73.8,54.7,81.4,0.0,0.0,0.0,0.0,0.0
2014-09-27,00013490096,15.9,19.6,11.0,97.7,96.1,64.1,88.2,0.0,0.0,0.0,0.0,0.0
2014-09-28,00013490096,17.0,22.0,13.8,86.8,98.3,79.2,97.6,0.0,0.0,0.0,0.0,0.0
2014-09-29,00013490096,14.4,16.8,11.7,98.2,98.3,88.0,89.2,0.0,0.0,0.0,0.0,0.0
2014-09-30,00013490096,13.7,19.0,10.0,97.6,96.1,70.9,69.5,0.0,0.0,0.0,0.0,0.0
2014-10-01,00013490096,10.6,14.6,7.1,74.2,92.8,60.6,90.4,0.0,0.0,0.0,0.0,0.0
2014-10-02,00013490096,12.3,15.6,7.4,95.8,96.2,66.9,95.5,0.0,0.0,0.0,0.0,0.0
2014-10-03,00013490096,15.8,20.1,13.5,98.9,99.1,98.8,88.8,2.5,2.5,0.5,0.0,0.5
2014-10-04,00013490096,13.9,17.1,11.1,98.8,93.8,72.8,84.1,0.0,0.0,0.0,0.0,0.0
2014-10-05,00013490096,11.0,14.8,6.7,72.3,89.9,57.7,91.9,0.0,0.0,0.0,0.0,0.0
2014-10-06,00013490096,11.8,13.1,9.7,95.7,88.8,97.0,90.4,1.5,0.0,0.0,3.5,0.5
2014-10-07,00013490096,10.8,14.9,7.0,85.7,97.7,56.7,92.8,0.0,0.0,0.0,0.0,0.0
2014-10-08,00013490096,12.4,16.5,7.1,96.3,74.3,73.5,80.7,0.0,0.0,0.0,0.0,0.0
2014-10-09,00013490096,12.3,16.2,8.9,98.2,98.3,62.1,96.8,0.0,0.0,0.0,0.0,0.0
2014-10-10,00013490096,12.3,14.8,8.3,98.5,98.8,75.9,64.0,2.0,2.0,1.0,0.0,0.0
2014-10-11,00013490096,11.8,13.8,7.1,84.6,67.5,69.1,66.5,0.0,0.0,0.0,0.0,0.0
2014-10-12,00013490096,10.5,16.8,6.2,96.8,97.9,62.7,96.1,0.0,0.0,0.0,0.0,0.0
2014-10-13,00013490096,11.3,14.2,8.6,98.6,98.1,80.4,98.4,0.5,0.0,0.0,0.0,1.5
2014-10-14,00013490096,10.7,11.7,9.8,97.6,98.6,96.7,81.6,4.0,8.5,12.5,1.0,0.0
2014-10-15,00013490096,10.0,13.0,6.6,73.1,76.7,61.2,96.0,0.0,0.0,0.0,0.0,0.0
2014-10-16,00013490096,11.4,14.4,6.8,98.2,98.0,66.0,97.9,1.0,0.0,1.0,0.0,1.0
2014-10-17,00013490096,11.2,13.5,9.2,98.4,98.4,89.5,73.5,1.5,2.5,1.5,1.5,0.0
2014-10-18,00013490096,8.5,14.1,4.9,69.3,95.9,63.8,89.1,0.0,0.0,0.0,0.0,0.0
2014-10-19,00013490096,10.1,16.5,5.1,92.8,96.0,63.1,98.2,0.0,0.0,0.0,0.0,0.0
2014-10-20,00013490096,13.7,17.0,9.5,98.0,69.4,88.3,98.7,4.0,0.0,0.0,1.0,10.5
2014-10-21,00013490096,11.8,13.5,9.4,98.3,98.9,86.0,92.1,0.5,0.5,0.0,0.0,0.0
2014-10-22,00013490096,7.0,9.2,3.1,79.0,64.3,61.7,85.4,0.0,0.0,0.0,0.0,0.0
2014-10-23,00013490096,5.7,9.8,2.1,96.0,97.9,70.8,97.4,0.0,0.0,0.0,0.0,0.0
2014-10-24,00013490096,8.4,13.1,4.4,98.5,98.7,78.8,97.7,0.0,0.0,0.0,0.0,0.0
2014-10-25,00013490096,13.2,16.6,7.0,98.3,98.7,78.4,87.2,0.0,0.0,0.0,0.0,0.0
2014-10-26,00013490096,16.5,19.2,13.1,90.5,95.0,69.3,70.2,0.0,0.0,0.0,0.0,0.0
2014-10-27,00013490096,11.0,17.0,4.5,88.5,91.4,80.9,81.1,0.0,0.0,0.0,0.0,0.0
2014-10-28,00013490096,5.1,7.7,3.5,65.6,67.1,61.4,73.1,0.0,0.0,0.0,0.0,0.0
2014-10-29,00013490096,7.4,10.7,3.4,76.0,59.1,51.3,54.5,0.0,0.0,0.0,0.0,0.0
2014-10-30,00013490096,8.2,14.1,2.8,81.2,90.5,59.2,97.5,0.0,0.0,0.0,0.0,0.0
2014-10-31,00013490096,12.2,16.6,7.6,92.4,97.4,75.4,72.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,00013490096,11.1,14.8,6.6,95.8,98.5,96.0,98.4,2.0,0.0,0.0,0.5,4.0
2014-11-02,00013490096,14.2,17.0,11.7,99.1,99.1,95.8,95.9,2.0,0.0,0.5,0.0,3.5
2014-11-03,00013490096,6.2,14.7,1.9,97.9,79.1,93.3,82.4,2.5,3.0,0.5,2.0,2.0
2014-11-04,00013490096,6.4,9.3,2.2,94.0,88.8,50.6,60.7,0.5,1.0,0.0,0.0,0.0
2014-11-05,00013490096,9.9,15.1,6.5,77.6,69.6,43.3,92.8,0.0,0.0,0.0,0.0,0.0
2014-11-06,00013490096,10.3,15.3,5.7,97.6,98.4,63.9,86.8,0.0,0.0,0.0,0.0,0.0
2014-11-07,00013490096,5.2,9.0,3.8,83.0,75.0,67.1,57.6,0.0,0.0,0.0,0.0,0.0
2014-11-08,00013490096,7.1,10.7,4.0,63.3,72.3,58.5,80.2,0.0,0.0,0.0,0.0,0.0
2014-11-09,00013490096,10.6,12.4,6.4,87.0,84.5,69.6,75.3,1.5,0.0,0.0,0.0,1.5
2014-11-10,00013490096,9.3,11.7,3.6,98.6,83.2,95.5,96.1,5.0,9.5,0.0,0.0,0.0
2014-11-11,00013490096,6.1,11.2,1.9,97.5,96.1,82.6,97.5,0.0,0.0,0.0,0.0,0.0
2014-11-12,00013490096,9.3,13.6,4.6,98.5,98.5,80.0,97.8,14.5,0.0,0.0,0.0,17.5
2014-11-13,00013490096,4.1,9.9,0.1,84.2,74.0,63.8,93.2,0.5,0.0,0.5,0.0,0.5
2014-11-14,00013490096,1.5,3.1,0.1,82.4,69.2,57.8,62.4,0.0,0.0,0.0,0.0,0.0
2014-11-15,00013490096,0.7,2.3,-2.2,90.8,89.8,76.5,75.2,0.5,0.0,0.5,0.0,0.0
2014-11-16,00013490096,2.6,5.6,-0.2,81.0,80.2,65.1,74.5,0.0,0.0,0.0,0.0,0.0
2014-11-17,00013490096,1.9,5.6,-1.0,88.6,90.7,60.0,84.9,0.0,0.0,0.0,0.0,0.0
2014-11-18,00013490096,2.5,5.8,-1.1,96.0,93.4,75.2,72.6,0.0,0.0,0.0,0.0,0.0
2014-11-19,00013490096,3.0,5.8,-0.3,85.1,77.1,58.5,71.2,0.0,0.0,0.0,0.0,0.0
2014-11-20,00013490096,2.7,7.1,-0.3,89.9,90.9,67.0,91.9,0.0,0.0,0.0,0.0,0.0
2014-11-21,00013490096,6.4,11.6,-0.4,87.0,97.8,59.6,98.4,1.5,0.0,0.0,0.0,3.5
2014-11-22,00013490096,8.6,13.5,3.6,98.4,98.9,81.6,91.7,0.5,1.0,0.5,0.0,0.0
2014-11-23,00013490096,3.5,7.5,-1.0,95.5,81.9,67.7,68.6,0.0,0.0,0.0,0.0,0.0
2014-11-24,00013490096,4.9,9.7,-1.0,88.0,88.4,56.9,95.9,0.0,0.0,0.0,0.0,0.0
2014-11-25,00013490096,4.9,6.4,1.4,89.5,61.4,63.6,70.9,0.0,0.0,0.0,0.0,0.0
2014-11-26,00013490096,4.8,7.0,-0.2,87.2,95.2,62.9,81.0,0.5,0.0,0.0,0.0,0.5
2014-11-27,00013490096,5.8,8.1,3.2,97.7,98.4,95.8,98.7,4.0,15.0,7.0,0.0,0.0
2014-11-28,00013490096,5.3,8.9,2.3,98.7,98.5,76.6,97.9,0.0,0.0,0.0,0.0,0.0
2014-11-29,00013490096,6.5,8.0,5.7,97.7,98.2,98.8,98.9,1.0,2.0,0.0,0.0,0.0
2014-11-30,00013490096,6.4,8.2,4.3,98.8,98.6,95.0,97.9,1.5,0.0,0.0,3.0,1.0
2014-12-01,00013490096,9.5,12.5,6.7,96.2,97.9,97.8,94.3,12.0,1.0,0.5,36.0,1.0
2014-12-02,00013490096,-0.2,5.5,-2.4,71.3,61.9,56.3,80.8,0.0,0.0,0.0,0.0,0.0
2014-12-03,00013490096,-1.7,-0.3,-2.7,84.6,65.0,71.4,80.1,0.0,0.0,0.0,0.0,0.0
2014-12-04,00013490096,-1.1,1.3,-3.6,84.6,87.8,60.9,78.3,0.0,0.0,0.0,0.0,0.0
2014-12-05,00013490096,-2.4,-0.5,-5.6,97.6,91.5,65.9,84.9,0.5,1.0,0.0,0.5,0.0
2014-12-06,00013490096,-5.1,-2.1,-7.8,97.4,96.2,69.6,73.4,0.0,0.0,0.0,0.0,0.0
2014-12-07,00013490096,-2.5,1.4,-7.9,78.9,74.5,72.7,65.0,0.0,0.0,0.0,0.0,0.0
2014-12-08,00013490096,-1.1,1.6,-4.4,68.8,77.3,70.6,97.3,0.0,0.0,0.0,0.0,0.0
2014-12-09,00013490096,-1.9,1.2,-4.7,88.0,88.4,69.8,77.8,0.0,0.0,0.0,0.0,0.0
2014-12-10,00013490096,-0.8,0.9,-2.4,73.1,60.8,67.4,73.7,0.0,0.0,0.0,0.0,0.0
2014-12-11,00013490096,2.7,6.0,-1.3,84.0,92.5,89.9,65.9,5.5,0.0,11.0,0.5,0.0
2014-12-12,00013490096,-1.9,-0.1,-4.1,79.7,74.8,68.2,75.3,0.0,0.0,0.0,0.0,0.0
2014-12-13,00013490096,-4.4,-1.9,-6.4,82.0,78.8,72.9,87.5,0.0,0.0,0.0,0.0,0.0
2014-12-14,00013490096,-6.4,-4.5,-7.8,86.5,78.2,55.6,62.5,0.0,0.0,0.0,0.0,0.0
2014-12-15,00013490096,-3.2,0.4,-6.2,69.1,66.8,72.7,66.7,0.0,0.0,0.0,0.0,0.0
2014-12-16,00013490096,0.9,5.6,-5.6,87.4,79.9,60.5,96.7,6.0,0.0,0.0,0.0,15.0
2014-12-17,00013490096,-2.2,2.7,-4.7,90.3,90.8,86.9,72.0,0.5,0.0,0.0,0.0,0.5
2014-12-18,00013490096,1.8,3.0,-3.2,80.2,89.8,80.3,74.1,0.0,0.0,0.0,0.0,0.0
2014-12-19,00013490096,0.3,1.2,-1.3,84.2,68.9,72.0,82.6,0.0,0.0,0.0,0.0,0.0
2014-12-20,00013490096,3.7,6.8,-2.0,90.3,98.0,67.9,84.3,2.0,0.0,0.0,0.0,3.0
2014-12-21,00013490096,-2.4,5.2,-5.6,94.7,68.8,65.9,84.4,0.5,1.0,0.0,0.0,0.0
2014-12-22,00013490096,-5.3,-3.3,-6.9,85.0,70.0,78.6,79.9,0.5,0.0,0.0,0.0,0.5
2014-12-23,00013490096,-4.1,-1.7,-7.5,68.9,76.4,65.9,71.6,0.0,0.0,0.0,0.0,0.0
2014-12-24,00013490096,0.7,3.9,-2.3,77.6,95.7,68.0,87.7,0.5,0.0,0.0,0.5,0.0
2014-12-25,00013490096,-3.6,-1.8,-6.7,73.3,75.7,76.5,63.8,0.0,0.0,0.0,0.0,0.0
2014-12-26,00013490096,-4.6,-1.7,-7.2,74.8,55.0,57.3,65.4,0.0,0.0,0.0,0.0,0.0
2014-12-27,00013490096,-2.2,0.5,-6.7,64.5,78.7,62.7,74.3,0.0,0.0,0.0,0.0,0.0
2014-12-28,00013490096,0.8,4.5,-3.4,89.6,87.2,72.2,96.2,2.0,0.0,0.0,0.0,3.0
2014-12-29,00013490096,1.6,4.5,-0.6,98.7,98.8,78.0,81.3,3.5,6.5,0.0,0.5,0.0
2014-12-30,00013490096,0.6,2.0,-2.1,61.6,86.6,78.2,70.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,00013490096,-1.1,1.0,-4.5,84.1,82.4,71.1,86.4,0.0,0.0,0.0,0.0,0.0
2015-01-01,00013490096,-2.5,0.1,-5.7,84.1,78.0,89.7,82.5,0.0,0.0,0.0,0.0,0.0
2015-01-02,00013490096,-4.6,-2.2,-7.3,75.0,59.9,67.4,61.4,0.0,0.0,0.0,0.0,0.0
2015-01-03,00013490096,-5.4,-3.3,-8.6,60.9,63.2,68.4,70.2,0.0,0.0,0.0,0.0,0.0
2015-01-04,00013490096,-1.9,1.8,-5.7,76.4,81.0,59.5,82.2,0.0,0.0,0.0,0.0,0.0
2015-01-05,00013490096,-0.2,2.2,-2.2,77.5,89.7,69.9,83.6,0.0,0.0,0.0,0.0,0.0
2015-01-06,00013490096,1.7,5.6,-5.0,94.1,80.2,81.8,85.2,4.5,0.0,0.0,8.0,0.5
2015-01-07,00013490096,-5.0,-0.8,-8.1,80.5,75.7,85.7,63.4,0.0,0.0,0.0,0.0,0.0
2015-01-08,00013490096,0.7,2.0,-0.6,74.9,70.5,62.1,71.8,0.0,0.0,0.0,0.0,0.0
2015-01-09,00013490096,0.8,2.3,-2.7,71.9,89.3,73.0,65.8,0.0,0.0,0.0,0.0,0.0
2015-01-10,00013490096,-1.4,-0.1,-2.5,75.9,69.6,62.0,71.2,0.0,0.0,0.0,0.0,0.0
2015-01-11,00013490096,-1.5,0.3,-2.9,74.7,75.3,58.1,69.5,0.0,0.0,0.0,0.0,0.0
2015-01-12,00013490096,1.9,3.3,-0.4,70.1,90.8,85.8,82.6,0.0,0.0,0.0,0.0,0.0
